728, 1070, 732, 1074, 3
382, 186, 386, 201, 3
137, 1029, 141, 1034, 3
112, 1019, 118, 1023, 3
117, 961, 123, 970, 3
127, 952, 130, 958, 3
135, 936, 138, 941, 3
186, 968, 189, 972, 3
183, 973, 186, 978, 3
223, 983, 231, 989, 3
231, 990, 240, 1004, 3
196, 35, 202, 45, 3
173, 120, 177, 130, 3
189, 78, 198, 90, 3
409, 289, 412, 293, 3
573, 373, 582, 381, 3
947, 637, 960, 644, 3
498, 397, 507, 404, 3
500, 401, 509, 408, 3
608, 389, 617, 395, 3
750, 344, 755, 353, 3
330, 366, 335, 374, 3
338, 345, 343, 356, 3
330, 345, 336, 355, 3
344, 323, 352, 337, 3
735, 444, 744, 449, 3
452, 516, 460, 528, 3
717, 487, 730, 495, 3
589, 553, 598, 570, 3
489, 487, 496, 496, 3
263, 970, 275, 979, 3
259, 917, 263, 924, 3
342, 972, 349, 980, 3
358, 959, 366, 967, 3
295, 875, 306, 882, 3
359, 892, 362, 898, 3
194, 856, 203, 861, 3
197, 853, 203, 856, 3
199, 844, 207, 849, 3
198, 848, 206, 853, 3
226, 839, 233, 844, 3
225, 843, 232, 848, 3
222, 846, 230, 851, 3
221, 849, 229, 855, 3
214, 852, 226, 860, 3
215, 857, 223, 862, 3
215, 860, 224, 866, 3
212, 869, 220, 875, 3
234, 942, 244, 956, 3
281, 948, 289, 955, 3
280, 941, 295, 948, 3
334, 983, 347, 988, 3
189, 808, 192, 813, 3
250, 796, 254, 801, 3
211, 706, 224, 714, 3
221, 678, 234, 687, 3
219, 683, 231, 691, 3
217, 695, 228, 701, 3
217, 690, 229, 696, 3
401, 900, 408, 908, 3
678, 1033, 682, 1039, 3
491, 893, 495, 899, 3
504, 873, 511, 879, 3
493, 871, 500, 877, 3
233, 664, 242, 671, 3
234, 660, 243, 666, 3
233, 654, 241, 662, 3
236, 651, 244, 657, 3
232, 635, 238, 645, 3
241, 639, 249, 647, 3
242, 635, 250, 643, 3
246, 629, 250, 632, 3
245, 625, 253, 631, 3
248, 622, 256, 627, 3
249, 619, 256, 623, 3
291, 795, 318, 814, 3
820, 797, 825, 803, 3
806, 790, 813, 795, 3
883, 1005, 892, 1014, 3
885, 810, 897, 816, 3
294, 749, 300, 753, 3
290, 637, 296, 641, 3
286, 621, 291, 626, 3
270, 608, 274, 614, 3
437, 580, 446, 593, 3
438, 553, 446, 566, 3
338, 550, 343, 555, 3
345, 542, 351, 546, 3
349, 534, 355, 539, 3
351, 525, 359, 530, 3
351, 527, 357, 531, 3
352, 530, 357, 534, 3
355, 522, 361, 526, 3
361, 508, 367, 511, 3
360, 509, 366, 514, 3
359, 512, 364, 516, 3
357, 516, 363, 519, 3
356, 519, 362, 523, 3
359, 497, 364, 504, 3
331, 505, 338, 511, 3
271, 561, 279, 568, 3
274, 549, 283, 557, 3
277, 543, 286, 550, 3
278, 540, 287, 546, 3
280, 536, 289, 543, 3
281, 533, 289, 540, 3
289, 521, 298, 527, 3
467, 540, 474, 552, 3
287, 524, 296, 530, 3
284, 527, 293, 533, 3
283, 530, 291, 536, 3
294, 526, 300, 535, 3
335, 737, 340, 742, 3
211, 36, 215, 39, 3
215, 32, 221, 36, 3
948, 513, 952, 517, 3
242, 919, 245, 928, 3
250, 913, 256, 924, 3
455, 607, 460, 614, 3
574, 536, 578, 545, 3
572, 545, 576, 554, 3
869, 296, 874, 303, 3
870, 314, 875, 321, 3
463, 429, 469, 434, 3
478, 457, 489, 465, 3
393, 418, 400, 427, 3
396, 398, 405, 411, 3
652, 507, 668, 518, 3
870, 307, 875, 314, 3
870, 290, 874, 295, 3
287, 807, 294, 815, 3
400, 629, 408, 640, 3
407, 631, 416, 642, 3
393, 189, 396, 194, 3
399, 236, 402, 241, 3
368, 240, 373, 246, 3
362, 246, 370, 263, 3
391, 413, 397, 421, 3
382, 409, 388, 416, 3
357, 271, 367, 284, 3
425, 421, 436, 433, 3
659, 549, 665, 552, 3
639, 536, 642, 539, 3
584, 540, 594, 553, 3
492, 882, 504, 888, 3
729, 1066, 733, 1070, 3
731, 1062, 734, 1065, 3
348, 303, 354, 310, 3
1002, 585, 1011, 590, 3
940, 594, 951, 602, 3
477, 508, 486, 524, 3
269, 967, 277, 975, 3
258, 973, 267, 982, 3
246, 988, 254, 997, 3
297, 908, 308, 928, 3
292, 880, 300, 891, 3
274, 825, 282, 837, 3
266, 825, 277, 837, 3
253, 825, 266, 834, 3
268, 794, 275, 800, 3
474, 526, 479, 537, 3
331, 560, 340, 572, 3
758, 519, 764, 521, 3
347, 351, 356, 360, 3
261, 919, 267, 928, 3
501, 894, 505, 901, 3
333, 894, 341, 903, 3
282, 909, 291, 922, 3
202, 955, 237, 977, 3
195, 4, 204, 10, 3
153, 51, 172, 63, 3
308, 131, 313, 138, 3
417, 428, 428, 437, 3
401, 414, 416, 424, 3
386, 405, 395, 420, 3
414, 422, 422, 428, 3
399, 402, 420, 416, 3
376, 394, 385, 409, 3
390, 379, 406, 400, 3
742, 336, 749, 350, 3
